permission_key,main_menu,sub_menu,linked_screen_label_id,linked_screen_label_text,write_or_read,notes
"extra_조직도","추가기능","조직도","","",read,"항상 허용 (canAccessExtraFeature L500 조건)"
"extra_부서별재고","추가기능","부서별재고","","",read,""
"extra_근무현황","추가기능","근무현황","","",read,""
"extra_인계노트","추가기능","인계노트","","",read,"레거시 별칭: handover_read"
"extra_퇴원심사","추가기능","퇴원심사","","",read,""
"extra_마감보고","추가기능","마감보고","","",read,"관리자는 자동 허용"
"extra_직원평가","추가기능","직원평가","","",read,""
"extra_입금실시간조회","추가기능","입금실시간조회","","",read,"STRICT 기능 - 명시적 권한 필수"
"extra_수술상담","추가기능","수술상담","","",read,"STRICT 기능 - 명시적 권한 필수"
"extra_OP체크","추가기능","OP체크","","",read,"STRICT 기능 - 명시적 권한 필수"
"extra_ESL관리","추가기능","ESL관리","","",read,"특수 로직: 명시적 권한 우선, 없으면 관리자만"
"board_공지사항_read","게시판","공지사항","","",read,""
"board_공지사항_write","게시판","공지사항","","",write,""
"board_자유게시판_read","게시판","자유게시판","","",read,""
"board_자유게시판_write","게시판","자유게시판","","",write,""
"board_경조사_read","게시판","경조사","","",read,""
"board_경조사_write","게시판","경조사","","",write,""
"board_MRI일정_read","게시판","MRI일정","","",read,""
"board_MRI일정_write","게시판","MRI일정","","",write,""
"board_수술일정_read","게시판","수술일정","","",read,""
"board_수술일정_write","게시판","수술일정","","",write,""
"board_업무가이드_read","게시판","업무가이드","","",read,"자유게시판 권한과 동일"
"board_업무가이드_write","게시판","업무가이드","","",write,"자유게시판 권한과 동일"
"approval_기안함","전자결재","기안함","","",read,"레거시 별칭: approval, admin_공문서대장"
"approval_결재함","전자결재","결재함","","",read,"레거시 별칭: approval"
"approval_참조문서함","전자결재","참조 문서함","","",read,""
"approval_작성하기","전자결재","작성하기","","",write,"레거시 별칭: approval, admin_공문서대장"
"hr_직원등록","인사관리","직원등록","","",write,""
"hr_구성원","인사관리","구성원","","",read,"레거시 별칭: hr"
"hr_인사발령","인사관리","인사발령","","",write,"구성원 권한 필요"
"hr_포상징계","인사관리","포상/징계","","",write,"구성원 권한 필요"
"hr_교육","인사관리","교육","","",write,"구성원 권한 필요"
"hr_오프보딩","인사관리","오프보딩","","",write,"구성원 권한 필요"
"hr_근태","인사관리","근태","","",read,""
"hr_교대근무","인사관리","교대근무","","",read,""
"hr_근무표생성","인사관리","근무표생성","","",write,"교대근무+근태 권한 필요"
"hr_연차휴가","인사관리","연차/휴가","","",read,"근태 권한 필요"
"hr_급여","인사관리","급여","","",read,""
