label_id,label_name,impact,risk,frequency,mobile_share,priority_score,recommended_phase3_group
5,내정보-할일(b),4,1,4,5,80.0,⑧채팅·내정보
2,내정보-출퇴근,5,2,5,5,62.5,⑧채팅·내정보
35,인사관리-연차휴가(a),5,2,5,4,50.0,④근태통합뷰
36,인사관리-연차휴가(b),5,2,5,4,50.0,④근태통합뷰
37,인사관리-연차휴가(c),5,2,5,4,50.0,④근태통합뷰
38,인사관리-연차휴가(d),5,2,5,4,50.0,④근태통합뷰
30,인사관리-근태 대시보드,5,2,5,4,50.0,④근태통합뷰
34,인사관리-근태달력,5,2,5,4,50.0,④근태통합뷰
23,게시판-공지사항,3,1,4,4,48.0,⑦업무공유
69,재고관리-품목자산 QR,3,1,3,5,45.0,⑤관리자운영
8,추가기능-OP체크 메인화면,5,3,5,5,41.7,②OP체크
9,추가기능-OP체크 환자정보,5,3,5,5,41.7,②OP체크
10,추가기능-OP체크 준비완료,5,3,5,5,41.7,②OP체크
11,추가기능-OP체크 수술시작,5,3,5,5,41.7,②OP체크
12,추가기능-OP체크 수술완료,5,3,5,5,41.7,②OP체크
3,내정보-할일(a),4,2,4,5,40.0,⑧채팅·내정보
24,게시판-자유게시판 게시글,3,1,3,4,36.0,⑦업무공유
39,인사관리-근태이상감지(a),4,2,4,4,32.0,④근태통합뷰
40,인사관리-근태이상감지(b),4,2,4,4,32.0,④근태통합뷰
25,전자결재-기안함,4,2,4,4,32.0,⑦업무공유
13,추가기능-병동인계,4,2,4,4,32.0,②OP체크
65,재고관리-내 부서 재고,4,2,4,4,32.0,⑤관리자운영
27,인사관리-구성원,4,2,4,3,24.0,④근태통합뷰
64,재고관리-재고현황,4,2,4,3,24.0,⑤관리자운영
1,내정보 메인페이지-관리자,3,2,4,4,24.0,⑧채팅·내정보
62,인사관리-증명서발급,4,2,4,3,24.0,④근태통합뷰
17,추가기능-퇴원심사,4,3,4,4,21.3,③퇴원심사
18,추가기능-퇴원심사 새심사(a),4,3,4,4,21.3,③퇴원심사
19,추가기능-퇴원심사 새심사(b),4,3,4,4,21.3,③퇴원심사
15,추가기능-마감보고 생성,3,2,3,4,18.0,③퇴원심사
66,재고관리-입출고관리 물품등록,4,3,4,3,16.0,⑤관리자운영
4,내정보-서류제출,3,2,3,3,13.5,⑧채팅·내정보
7,추가기능-부서별 물품재고,3,2,3,3,13.5,②OP체크
14,추가기능-마감보고,3,2,3,3,13.5,③퇴원심사
54,인사관리-경조사관리,3,2,3,3,13.5,④근태통합뷰
55,인사관리-경조사등록,3,2,3,3,13.5,④근태통합뷰
58,인사관리-의료기기점검,3,2,3,3,13.5,④근태통합뷰
63,인사관리-서류제출,3,2,3,3,13.5,④근태통합뷰
68,재고관리-품목자산,3,2,3,3,13.5,⑤관리자운영
26,전자결재-작성하기,4,3,3,3,12.0,⑦업무공유
31,인사관리-근무표 생성,4,3,4,2,10.7,④근태통합뷰
41,인사관리-급여 대시보드,5,3,4,1,6.7,①급여워크센터
71,관리자-경영대시보드,5,3,4,1,6.7,⑥경영인사이트
94,관리자-감사센터(a),4,2,3,1,6.0,⑤관리자운영
95,관리자-감사센터(b),4,2,3,1,6.0,⑤관리자운영
74,관리자-통합보고서,4,2,3,1,6.0,⑥경영인사이트
76,관리자-경영분석(a),4,2,3,1,6.0,⑥경영인사이트
77,관리자-경영분석(b),4,2,3,1,6.0,⑥경영인사이트
42,인사관리-급여 급여정산,5,4,4,1,5.0,①급여워크센터
72,관리자-재무대시보드,5,3,3,1,5.0,⑥경영인사이트
61,인사관리-문서보관함,3,2,3,1,4.5,④근태통합뷰
59,인사관리-계약현황,4,3,3,1,4.0,④근태통합뷰
91,관리자-결재양식관리,4,3,3,1,4.0,⑤관리자운영
46,인사관리-급여 4대보험,4,3,3,1,4.0,①급여워크센터
43,인사관리-급여 급여대장,4,3,3,1,4.0,①급여워크센터
73,관리자-예산관리,4,3,3,1,4.0,⑥경영인사이트
75,관리자-법인손익,4,3,3,1,4.0,⑥경영인사이트
32,인사관리-근무표 AI 자동생성,4,3,3,1,4.0,④근태통합뷰
33,인사관리-3교대 마법사,4,3,3,1,4.0,④근태통합뷰
67,재고관리-구매 발주,4,3,3,1,4.0,⑤관리자운영
60,인사관리-계약서 자동생성,4,4,3,1,3.0,④근태통합뷰
92,관리자-결재양식편집,4,4,3,1,3.0,⑤관리자운영
20,추가기능-퇴원심사 기본항목설정,3,2,2,1,3.0,③퇴원심사
21,추가기능-퇴원심사 템플릿목록,3,2,2,1,3.0,③퇴원심사
22,추가기능-퇴원심사 템플릿수정,3,2,2,1,3.0,③퇴원심사
29,인사관리-교육,3,2,2,1,3.0,④근태통합뷰
47,인사관리-급여 시뮬레이터,3,2,2,1,3.0,①급여워크센터
50,인사관리-급여 최저임금점검,3,2,2,1,3.0,①급여워크센터
51,인사관리-급여 통상임금계산,3,2,2,1,3.0,①급여워크센터
56,인사관리-건강검진,3,2,2,1,3.0,④근태통합뷰
57,인사관리-면허 자격증,3,2,2,1,3.0,④근태통합뷰
70,재고관리-분석마감,3,2,2,1,3.0,⑤관리자운영
80,관리자-회사관리 법인카드,3,2,2,1,3.0,⑤관리자운영
84,관리자-회사관리 문서보관,3,2,2,1,3.0,⑤관리자운영
96,관리자-급여이상치검사,3,2,2,1,3.0,①급여워크센터
83,관리자-회사관리 급여기준,4,3,2,1,2.7,⑤관리자운영
85,관리자-직원권한,4,4,2,1,2.0,⑤관리자운영
44,인사관리-급여 퇴직정산,4,4,2,1,2.0,①급여워크센터
6,표준근로계약서 양식화면,3,3,2,1,2.0,⑧채팅·내정보
16,추가기능-직원평가,3,3,2,1,2.0,③퇴원심사
28,인사관리-인사발령,3,3,2,1,2.0,④근태통합뷰
45,인사관리-급여 원천징수파일,3,3,2,1,2.0,①급여워크센터
48,인사관리-급여 퇴직연금,3,3,2,1,2.0,①급여워크센터
52,인사관리-급여 미지급수당점검,3,3,2,1,2.0,①급여워크센터
53,인사관리-급여 무급결근차감,3,3,2,1,2.0,①급여워크센터
78,관리자-회사관리 기본정보,3,3,2,1,2.0,⑤관리자운영
79,관리자-회사관리 근무형태,3,3,2,1,2.0,⑤관리자운영
81,관리자-회사관리 계약템플릿,3,3,2,1,2.0,⑤관리자운영
82,관리자-회사관리 휴가기준,3,3,2,1,2.0,⑤관리자운영
86,관리자-운영설정,3,3,2,1,2.0,⑤관리자운영
87,관리자-운영설정 템플릿(a),3,3,2,1,2.0,⑤관리자운영
88,관리자-운영설정 템플릿(b),3,3,2,1,2.0,⑤관리자운영
49,인사관리-급여 임금피크제,2,2,1,1,1.0,①급여워크센터
90,관리자-팝업관리,2,2,1,1,1.0,⑤관리자운영
89,관리자-운영설정 템플릿(c),1,1,1,1,1.0,⑤관리자운영
93,관리자-백업복원,3,4,1,1,0.8,⑤관리자운영
