"current_path","current_lines","linked_screen_label_ids","migration_action","new_path","strategy_phase","notes"
"app/main/기능부품/ESL관리.tsx","511","","유지","app/main/기능부품/ESL관리.tsx","Post-launch","extra_ESL관리 권한 STRICT. 신규 메뉴 미할당 — 추정: settings 또는 ops 진입 논의 필요"
"app/main/기능부품/lucide-shim.tsx","34","","유지","app/main/기능부품/lucide-shim.tsx","Phase 3","공통 유틸. 화면 미연결. 변경 불필요"
"app/main/기능부품/MessengerAttachmentPanel.tsx","419","","wrapper만 교체","app/main/기능부품/MessengerAttachmentPanel.tsx","Phase 3","채팅 첨부 패널. 메신저 그룹 유지. wrapper 교체만"
"app/main/기능부품/MessengerConversationPanel.tsx","253","","wrapper만 교체","app/main/기능부품/MessengerConversationPanel.tsx","Phase 3","채팅 대화 패널"
"app/main/기능부품/MessengerDateJumpModal.tsx","105","","wrapper만 교체","app/main/기능부품/MessengerDateJumpModal.tsx","Phase 3","채팅 날짜이동 모달"
"app/main/기능부품/MessengerDrawerSections.tsx","501","","wrapper만 교체","app/main/기능부품/MessengerDrawerSections.tsx","Phase 3","채팅 드로어 섹션"
"app/main/기능부품/MessengerLayout.tsx","37","","wrapper만 교체","app/main/기능부품/MessengerLayout.tsx","Phase 3","채팅 레이아웃 래퍼"
"app/main/기능부품/MessengerModalHost.tsx","137","","wrapper만 교체","app/main/기능부품/MessengerModalHost.tsx","Phase 3","채팅 모달 호스트"
"app/main/기능부품/op-check-components.tsx","656","08,09,10,11,12","통합후재작성","app/main/기능부품/ops/OpCheckComponents.tsx","Phase 3","OP체크 상태전이 컴포넌트. ops_op_check 스텝통합 시 재작성 필요. 비즈니스 로직 보존"
"app/main/기능부품/OP체크.tsx","3971","08,09,10,11,12","통합후재작성","app/main/기능부품/ops/OP체크.tsx","Phase 3","3971줄. ops_op_check 단일화 핵심. 상태전이 로직 보존, 화면 재구성. JM: 분할 필수"
"app/main/기능부품/roster/RosterFairnessBoard.tsx","156","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterFairnessBoard.tsx","Phase 4","근무표 AI 공정성 보드. hr_attendance 통합 후 wrapper만"
"app/main/기능부품/roster/RosterManualImpactPanel.tsx","123","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterManualImpactPanel.tsx","Phase 4","수동 임팩트 패널"
"app/main/기능부품/roster/RosterPartialRegenerationPanel.tsx","143","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterPartialRegenerationPanel.tsx","Phase 4","부분 재생성 패널"
"app/main/기능부품/roster/RosterPatternManager.tsx","292","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterPatternManager.tsx","Phase 4","근무 패턴 관리"
"app/main/기능부품/roster/RosterPlannerDashboard.tsx","305","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterPlannerDashboard.tsx","Phase 4","플래너 대시보드"
"app/main/기능부품/roster/RosterPreferredOffManager.tsx","136","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterPreferredOffManager.tsx","Phase 4","선호 휴무 관리"
"app/main/기능부품/roster/RosterPreviewTable.tsx","275","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterPreviewTable.tsx","Phase 4","미리보기 테이블"
"app/main/기능부품/roster/RosterReviewPanel.tsx","298","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterReviewPanel.tsx","Phase 4","검토 패널"
"app/main/기능부품/roster/RosterRoleTagPicker.tsx","87","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterRoleTagPicker.tsx","Phase 4","역할 태그 피커"
"app/main/기능부품/roster/RosterRuleListPanel.tsx","120","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterRuleListPanel.tsx","Phase 4","규칙 목록 패널"
"app/main/기능부품/roster/RosterRuleManager.tsx","448","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterRuleManager.tsx","Phase 4","규칙 관리자"
"app/main/기능부품/roster/RosterSnapshotPanel.tsx","171","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterSnapshotPanel.tsx","Phase 4","스냅샷 패널"
"app/main/기능부품/roster/RosterStaffConfigTable.tsx","238","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterStaffConfigTable.tsx","Phase 4","스태프 설정 테이블"
"app/main/기능부품/roster/RosterWarningReport.tsx","111","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWarningReport.tsx","Phase 4","경고 리포트"
"app/main/기능부품/roster/RosterWizardExceptionsStep.tsx","447","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardExceptionsStep.tsx","Phase 4","마법사 예외 스텝"
"app/main/기능부품/roster/RosterWizardModal.tsx","285","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardModal.tsx","Phase 4","마법사 모달 → hr_attendance 모달통합"
"app/main/기능부품/roster/RosterWizardPairRulesSection.tsx","98","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardPairRulesSection.tsx","Phase 4","페어 규칙 섹션"
"app/main/기능부품/roster/RosterWizardRuleSafetySection.tsx","276","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardRuleSafetySection.tsx","Phase 4","규칙 안전 섹션"
"app/main/기능부품/roster/RosterWizardRuleSetupSection.tsx","404","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardRuleSetupSection.tsx","Phase 4","규칙 설정 섹션"
"app/main/기능부품/roster/RosterWizardRuleStep.tsx","14","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardRuleStep.tsx","Phase 4","규칙 스텝 (14줄 — re-export 추정)"
"app/main/기능부품/roster/RosterWizardRuleSummarySection.tsx","246","31,32,33","wrapper만 교체","app/main/기능부품/roster/RosterWizardRuleSummarySection.tsx","Phase 4","규칙 요약 섹션"
