"old_permission_key","old_screen_label_id","new_screen_id","new_permission_key","key_action","notes"
"extra_조직도","","","work_org_read","이름변경","extra_조직도 → work_org_read. 신규 메뉴 work 내 조직도. 추정: 화면 미매핑"
"extra_부서별재고","07","ops_dept_inventory","ops_dept_inventory_read","이름변경","부서별 물품재고 → ops_dept_inventory_read"
"extra_근무현황","","","ops_workclock_read","이름변경","근무현황 → ops_workclock_read. 추정: ops 메뉴 연계"
"extra_인계노트","13","ops_handover","ops_handover_read","이름변경","extra_인계노트 → ops_handover_read"
"extra_퇴원심사","17,18,19,20,21,22","ops_discharge","ops_discharge_read","이름변경","퇴원심사 전체 → ops_discharge_read"
"extra_마감보고","14,15","ops_closing_report","ops_closing_report_read","이름변경","마감보고 → ops_closing_report_read"
"extra_직원평가","16","ops_staff_eval","ops_staff_eval_read","이름변경","직원평가 → ops_staff_eval_read"
"extra_입금실시간조회","","","ops_payment_realtime_read","이름변경","STRICT. 신규 ops 메뉴. 추정"
"extra_수술상담","","","ops_surgery_consult_read","이름변경","STRICT. 신규 ops 메뉴. 추정"
"extra_OP체크","08,09,10,11,12","ops_op_check","ops_op_check_read","이름변경","STRICT. OP체크 스텝통합 → ops_op_check_read"
"extra_ESL관리","","","ops_esl_read","이름변경","STRICT. 신규 메뉴 배치 추정. extra_ESL관리 → ops_esl_read"
"board_공지사항_read","23","work_notice","work_notice_read","이름변경","공지사항 조회 → work_notice_read"
"board_공지사항_write","23","work_notice","work_notice_write","이름변경","공지사항 작성 → work_notice_write"
"board_자유게시판_read","24","work_board","work_board_read","이름변경","자유게시판 조회 → work_board_read"
"board_자유게시판_write","24","work_board","work_board_write","이름변경","자유게시판 작성 → work_board_write"
"board_경조사_read","","","work_family_event_read","이름변경","게시판 경조사 조회. 추정: hr_family_event와 연계 검토"
"board_경조사_write","","","work_family_event_write","이름변경","게시판 경조사 작성. 추정"
"board_MRI일정_read","","","ops_mri_schedule_read","이름변경","MRI 일정 조회. 스크린 미매핑. 추정: ops 메뉴"
"board_MRI일정_write","","","ops_mri_schedule_write","이름변경","MRI 일정 작성. 추정"
"board_수술일정_read","","","ops_surgery_schedule_read","이름변경","수술 일정 조회. 스크린 미매핑. 추정: ops 메뉴"
"board_수술일정_write","","","ops_surgery_schedule_write","이름변경","수술 일정 작성. 추정"
"board_업무가이드_read","23,24","work_board","work_guide_read","이름변경","업무가이드 조회. work_board와 통합 고려. 추정"
"board_업무가이드_write","23,24","work_board","work_guide_write","이름변경","업무가이드 작성. 추정"
"approval_기안함","25","work_approval","work_approval_read","이름변경","기안함 → work_approval_read"
"approval_결재함","25","work_approval","work_approval_inbox_read","이름변경","결재함 → work_approval_inbox_read"
"approval_참조문서함","25","work_approval","work_approval_ref_read","이름변경","참조문서함 → work_approval_ref_read"
"approval_작성하기","26","work_approval_compose","work_approval_write","이름변경","작성하기 → work_approval_write"
"hr_직원등록","27","hr_members","hr_members_write","이름변경","직원 등록 → hr_members_write"
"hr_구성원","27","hr_members","hr_members_read","이름변경","구성원 조회 → hr_members_read"
"hr_인사발령","28","hr_personnel_order","hr_personnel_order_write","이름변경","인사발령 → hr_personnel_order_write"
"hr_포상징계","27","hr_members","hr_members_discipline_write","이름변경","포상/징계 → hr_members_discipline_write. 추정: hr_members 하위"
"hr_교육","29","hr_education","hr_education_write","이름변경","교육 → hr_education_write"
"hr_오프보딩","27","hr_members","hr_members_offboard_write","이름변경","오프보딩 → hr_members_offboard_write. 추정: hr_members 하위"
"hr_근태","30,34","hr_attendance","hr_attendance_read","이름변경","근태 → hr_attendance_read"
"hr_교대근무","30,31","hr_attendance","hr_attendance_shift_read","이름변경","교대근무 → hr_attendance_shift_read"
"hr_근무표생성","31,32,33","hr_attendance","hr_attendance_roster_write","이름변경","근무표 생성/AI/마법사 통합 → hr_attendance_roster_write"
"hr_연차휴가","35,36,37,38","hr_leave","hr_leave_read","이름변경","연차/휴가 → hr_leave_read"
"hr_급여","41~53","hr_payroll","hr_payroll_read","이름변경","급여 전체 → hr_payroll_read"
"hr_건강검진","56","hr_health_check","hr_health_check_read","이름변경","건강검진 → hr_health_check_read"
"hr_경조사","54,55","hr_family_event","hr_family_event_read","통합","hr_경조사(HR) + board_경조사 통합 고려. 추정: board 경조사와 통합 논의 필요"
"hr_면허자격증","57","hr_license","hr_license_read","이름변경","면허/자격증 → hr_license_read"
"hr_의료기기점검","58","hr_medical_device","hr_medical_device_read","이름변경","의료기기점검 → hr_medical_device_read"
"hr_사고보고서","","","hr_incident_read","이름변경","사고보고서. 스크린 미매핑. 추정"
"hr_계약","59,60","hr_contract","hr_contract_read","이름변경","계약 → hr_contract_read"
"hr_문서보관함","61","hr_doc_archive","hr_doc_archive_read","이름변경","문서보관함 → hr_doc_archive_read"
"hr_증명서","62","hr_certificate","hr_certificate_read","이름변경","증명서 → hr_certificate_read"
"hr_서류제출","63","hr_submit","hr_submit_write","이름변경","서류제출(HR) → hr_submit_write"
"hr_근무형태이력","79","settings_company","hr_work_type_history_read","이름변경","근무형태이력 → hr_work_type_history_read. 추정"
"hr_연차소멸알림","35~38","hr_leave","hr_leave_expire_read","이름변경","연차소멸알림 → hr_leave_expire_read. 추정"
"hr_지각조퇴분석","39,40","hr_attendance_alert","hr_attendance_alert_read","통합","지각조퇴분석+조기퇴근감지 → hr_attendance_alert_read 단일 키로 통합"
