screen,file,audit_call,status,notes
인사관리/구성원현황,app/main/기능부품/인사관리서브/구성원현황.tsx,logAudit,OK,직원 정보 수정 시 logAudit 호출 확인
인사관리/구성원현황(서브),app/main/기능부품/인사관리서브/구성원현황/index.tsx,logAudit,OK,서브 컴포넌트도 logAudit 사용
인사관리/계약관리,app/main/기능부품/인사관리서브/계약관리.tsx,MISSING,MISSING,insert/update 다수 — audit 미호출
인사관리/인사발령관리,app/main/기능부품/인사관리서브/인사발령관리.tsx,logAudit,OK,발령 처리 시 logAudit 확인
인사관리/오프보딩,app/main/기능부품/인사관리서브/오프보딩.tsx,logAudit,OK,퇴사 처리 시 logAudit 확인
인사관리/근무형태변경이력,app/main/기능부품/인사관리서브/근무형태변경이력.tsx,logAudit,OK,근무형태 변경 시 logAudit 확인
인사관리/근무형태관리,app/main/기능부품/인사관리서브/근무형태관리.tsx,MISSING,MISSING,insert/update 6회 — audit 미호출
인사관리/근태관리메인,app/main/기능부품/인사관리서브/근태기록/근태관리메인.tsx,MISSING,MISSING,insert/update 14회 — 고위험 누락
인사관리/경조사관리,app/main/기능부품/인사관리서브/경조사관리.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/공휴일달력,app/main/기능부품/인사관리서브/공휴일달력.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
인사관리/교육관리,app/main/기능부품/인사관리서브/교육관리.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/사고보고서,app/main/기능부품/인사관리서브/사고보고서.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
인사관리/의료기기점검,app/main/기능부품/인사관리서브/의료기기점검.tsx,MISSING,MISSING,insert/update 5회 — audit 미호출
인사관리/면허자격증관리,app/main/기능부품/인사관리서브/면허자격증관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
인사관리/스마트서류제출,app/main/기능부품/인사관리서브/스마트서류제출.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/조직도편집기,app/main/기능부품/인사관리서브/조직도편집기.tsx,MISSING,MISSING,insert/update 6회 — audit 미호출
인사관리/건강검진관리,app/main/기능부품/인사관리서브/건강검진관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
인사관리/4대보험관리,app/main/기능부품/인사관리서브/4대보험관리.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
인사관리/비품장비대여관리,app/main/기능부품/인사관리서브/비품장비대여관리.tsx,MISSING,MISSING,insert/update 3회 — audit 미호출
인사관리/법인카드사용내역,app/main/기능부품/인사관리서브/법인카드사용내역.tsx,MISSING,MISSING,insert/update 5회 — audit 미호출
인사관리/문서보관함,app/main/기능부품/인사관리서브/문서보관함.tsx,MISSING,MISSING,insert/update 4회 — audit 미호출
인사관리/간호근무표,app/main/기능부품/인사관리서브/간호근무표.tsx,MISSING,MISSING,insert/update 2회 — audit 미호출
인사관리/포상징계관리,app/main/기능부품/인사관리서브/포상징계관리.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/증명서발급,app/main/기능부품/인사관리서브/증명서발급.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/계약서자동생성,app/main/기능부품/인사관리서브/계약서자동생성.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/연차소멸알림,app/main/기능부품/인사관리서브/연차소멸알림.tsx,MISSING,MISSING,update 1회 — audit 미호출
인사관리/교육내역/자격면허대시보드,app/main/기능부품/인사관리서브/교육내역/자격면허대시보드.tsx,MISSING,MISSING,insert 1회 — audit 미호출
인사관리/계약문서/계약서양식편집,app/main/기능부품/인사관리서브/계약문서/계약서양식편집.tsx,MISSING,MISSING,insert 1회 — audit 미호출 (계약관리도구와 달리 이 파일은 보호 대상 아님)
인사관리/지각조퇴분석,app/main/기능부품/인사관리서브/지각조퇴분석.tsx,MISSING,MISSING,update 1회 — audit 미호출
인사관리/조기퇴근감지,app/main/기능부품/인사관리서브/조기퇴근감지.tsx,MISSING,MISSING,update 1회 — audit 미호출
급여/급여정산,app/main/기능부품/인사관리서브/급여명세/급여정산.tsx,logAudit,OK,급여 확정 시 logAudit 확인
급여/중간정산,app/main/기능부품/인사관리서브/급여명세/중간정산.tsx,logAudit,OK,중간정산 처리 시 logAudit 확인
